# Time(s), Power(mW)[0x40], Voltage[0x40], Power(mW)[0x41], Voltage[0x41], BME280 P(hPa), BME280 RH(%), BME280 Temp(F), DS18 Temp(F)[MCU], DS18 Temp(F)[Batt], Light (%), Wind Speed
723,738.00,12.67,478.00,12.67,810.31,36.89,73.58,73.06,73.18,0.15,3.21
726,802.00,12.67,540.00,12.67,810.23,36.97,73.60,73.06,73.18,0.15,3.12
729,800.00,12.67,544.00,12.67,810.23,36.86,73.60,73.06,73.18,0.14,3.73
732,734.00,12.67,476.00,12.67,810.25,36.93,73.58,73.06,73.18,0.14,3.41
735,740.00,12.68,476.00,12.66,810.22,36.53,73.60,73.06,73.06,0.14,2.74
738,724.00,12.68,484.00,12.67,810.21,36.82,73.60,73.06,73.18,0.14,4.08
741,786.00,12.67,550.00,12.67,810.24,36.74,73.62,73.06,73.18,0.14,3.78
744,796.00,12.68,550.00,12.67,810.28,36.84,73.60,73.06,73.18,0.13,3.65
747,734.00,12.67,484.00,12.67,810.20,36.54,73.60,73.06,73.18,0.13,2.63
750,802.00,12.67,560.00,12.67,810.26,36.61,73.62,73.06,73.18,0.13,5.25
753,810.00,12.67,554.00,12.67,810.26,36.86,73.60,73.06,73.18,0.13,6.19
756,734.00,12.67,488.00,12.67,810.32,36.34,73.63,72.95,73.06,0.13,5.03
759,728.00,12.67,488.00,12.67,810.18,35.69,73.72,73.06,73.06,0.13,3.57
762,780.00,12.67,484.00,12.67,810.09,36.17,73.74,73.06,73.18,0.13,5.63
765,730.00,12.67,498.00,12.67,810.20,36.22,73.78,72.95,73.06,0.12,5.17
768,738.00,12.67,488.00,12.67,810.13,36.21,73.80,72.95,73.06,0.12,5.95
771,812.00,12.67,550.00,12.67,810.19,36.57,73.81,73.06,73.18,0.12,4.90
774,800.00,12.67,560.00,12.67,810.13,36.55,73.81,73.06,73.18,0.12,4.69
777,730.00,12.67,488.00,12.67,810.17,36.46,73.81,73.06,73.18,0.11,5.15
780,800.00,12.67,554.00,12.66,810.16,36.37,73.81,73.06,73.06,0.11,5.34
783,790.00,12.67,554.00,12.67,810.17,36.47,73.78,73.06,73.06,0.11,5.41
786,796.00,12.67,554.00,12.67,810.20,36.00,73.81,73.06,73.06,0.11,5.49
789,740.00,12.68,478.00,12.67,810.19,36.36,73.81,72.95,73.06,0.11,4.69
792,800.00,12.67,540.00,12.67,810.22,36.21,73.81,73.06,73.06,0.11,4.36
